stock_flow,balance_type,instrument,counterparty,series_type,series_id,start,end,n_obs,unit,data_type,frequency,collection_month,file_no
Amounts outstanding at end of period ,Assets,Derivatives issued by:,Central bank,Original,A83749126R,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Derivatives issued by:,Authorised deposit taking Institutions,Original,A3362392J,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Derivatives issued by:,Other broad money Institutions,Original,A3360382T,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Derivatives issued by:,Central borrowing authorities,Original,A83749127T,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Derivatives issued by:,National general government,Original,A83749128V,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Derivatives issued by:,Rest of world,Original,A3360904R,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Loans and placements borrowed by:,Total (Counterparty sectors),Original,A3426248R,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Loans and placements borrowed by:,Private non-financial investment funds,Original,A3545019L,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Loans and placements borrowed by:,Public non-financial corporations,Original,A83834521K,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Loans and placements borrowed by:,Other broad money Institutions,Original,A108322974W,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Loans and placements borrowed by:,Life insurance corporations,Original,A3545021X,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Loans and placements borrowed by:,Non-life insurance corporations,Original,A3372562X,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Loans and placements borrowed by:,Non-money market financial investment funds,Original,A3366472F,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Loans and placements borrowed by:,Central borrowing authorities,Original,A3373666K,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Loans and placements borrowed by:,Other financial corporations,Original,A3361468X,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Loans and placements borrowed by:,State and local general government,Original,A3368494F,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Loans and placements borrowed by:,Rest of world,Original,A3366901T,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Shares and other equity issued by:,Total (Counterparty sectors),Original,A3424466A,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Shares and other equity issued by:,Private non-financial investment funds,Original,A3545169V,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Shares and other equity issued by:,Other broad money Institutions,Original,A3371551X,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Shares and other equity issued by:,Money market financial investment funds,Original,A3369541C,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Shares and other equity issued by:,Non-money market financial investment funds,Original,A3544371F,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Shares and other equity issued by:,Other financial corporations,Original,A3368560T,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Shares and other equity issued by:,Rest of world,Original,A3361522A,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Prepayments of premiums and reserves against outstanding claims,Total (Counterparty sectors),Original,A3426821V,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Prepayments of premiums and reserves against outstanding claims,Non-life insurance corporations,Original,A3365587L,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Prepayments of premiums and reserves against outstanding claims,Rest of world,Original,A3545320X,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Other accounts receivable,Total (Counterparty sectors),Original,A3428459A,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Other accounts receivable,Public non-financial corporations,Original,A83834866T,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Other accounts receivable,Authorised deposit taking Institutions,Original,A3545323F,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Other accounts receivable,Other broad money Institutions,Original,A3368629C,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Other accounts receivable,Pension funds,Original,A3545324J,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Other accounts receivable,Life insurance corporations,Original,A3358870L,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Other accounts receivable,Non-life insurance corporations,Original,A3369631J,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Other accounts receivable,Central borrowing authorities,Original,A3371116F,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Other accounts receivable,Other financial corporations,Original,A3371644K,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Other accounts receivable,National general government,Original,A3371647T,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Other accounts receivable,State and local general government,Original,A3364048J,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Other accounts receivable,Households,Original,A3545325K,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Assets,Other accounts receivable,Rest of world,Original,A3360007R,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,Total financial liabilities,Total (Counterparty sectors),Original,A3425687X,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,Drawings of bills of exchange accepted by:,Total (Counterparty sectors),Original,A3425594L,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
Amounts outstanding at end of period ,Liabilities,Drawings of bills of exchange accepted by:,Authorised deposit taking Institutions,Original,A3362245J,1/06/1988,1/12/2024,147,$ Millions,STOCK_CLOSE,Quarter,3,5232010.xlsx
